backend,qubits,depth,repetition,shots,expected_state,logical_gate_count,transpiled_gate_count,success_probability,error_rate,counts,job_id
ibm_marrakesh,4,16,1,1000,0000 0000,236,4,0.0,1.0,"{'0000': 990, '0010': 1, '1000': 6, '0001': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,4,16,2,1000,0000 0000,236,4,0.0,1.0,"{'0000': 987, '0001': 1, '1000': 12}",dambkidr85ps73fcicrg
ibm_marrakesh,4,16,3,1000,0000 0000,236,4,0.0,1.0,"{'0000': 987, '1000': 8, '0100': 1, '0001': 3, '0010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,16,4,1000,0000 0000,236,4,0.0,1.0,"{'0000': 987, '1000': 11, '0100': 1, '0001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,32,0,1000,0000 0000,460,4,0.0,1.0,"{'0000': 991, '1000': 5, '0010': 2, '0001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,32,1,1000,0000 0000,460,4,0.0,1.0,"{'0000': 989, '1000': 8, '0010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,4,32,2,1000,0000 0000,460,4,0.0,1.0,"{'0000': 992, '1000': 5, '0010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,4,32,3,1000,0000 0000,460,4,0.0,1.0,"{'0000': 990, '1000': 7, '0001': 1, '0100': 1, '0010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,32,4,1000,0000 0000,460,4,0.0,1.0,"{'0000': 988, '0010': 2, '0001': 3, '1000': 6, '0100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,1,0,1000,00000 00000,33,5,0.0,1.0,"{'00000': 995, '00010': 3, '00001': 1, '01000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,1,1,1000,00000 00000,33,5,0.0,1.0,"{'00000': 994, '01000': 3, '00100': 1, '00001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,5,1,2,1000,00000 00000,33,5,0.0,1.0,"{'00000': 994, '01000': 3, '00010': 2, '10000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,1,3,1000,00000 00000,33,5,0.0,1.0,"{'00000': 990, '01000': 5, '00010': 2, '00001': 3}",dambkidr85ps73fcicrg
