qubits,depth,noise_model,noise_probability,mean_success,std_success,mean_fidelity,std_fidelity,mean_error_rate
2,8,readout,0.002,0.9964000000000001,0.002073644135332786,0.9964000000000001,0.002073644135332786,0.0035999999999999366
2,8,readout,0.005,0.99,0.0025495097567963944,0.99,0.0025495097567963944,0.010000000000000009
2,8,readout,0.01,0.9804,0.007266360849833971,0.9804,0.007266360849833971,0.01959999999999995
2,8,readout,0.02,0.9640000000000001,0.005244044240850744,0.9640000000000001,0.005244044240850744,0.03599999999999992
2,8,readout,0.05,0.9024000000000001,0.0068044103344816155,0.9024000000000001,0.006804410334481626,0.09759999999999991
2,8,readout,0.1,0.806,0.011135528725660036,0.806,0.011135528725659948,0.19399999999999995
2,8,thermal,0.0,1.0,0.0,1.0,0.0,0.0
2,8,thermal,0.001,1.0,0.0,1.0,0.0,0.0
2,8,thermal,0.002,0.9996,0.0005477225575052004,0.9996,0.0005477225575052004,0.00039999999999995595
2,8,thermal,0.005,0.9987999999999999,0.0008366600265340829,0.9987999999999999,0.0008366600265340829,0.0012000000000000899
2,8,thermal,0.01,0.9970000000000001,0.001581138830084216,0.9970000000000001,0.001581138830084216,0.0029999999999998916
2,8,thermal,0.02,0.9954000000000001,0.0011401754250991486,0.9954000000000001,0.0011401754250991486,0.0045999999999999375
2,8,thermal,0.05,0.9853999999999999,0.003847076812334271,0.9853999999999999,0.003847076812334271,0.014600000000000057
2,8,thermal,0.1,0.9709999999999999,0.002449489742783197,0.9709999999999999,0.002449489742783197,0.029000000000000137
2,16,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,16,bit_flip,0.001,0.9354000000000001,0.004615192303685693,0.9354000000000001,0.004615192303685693,0.06459999999999988
2,16,bit_flip,0.002,0.8782,0.008105553651663775,0.8782,0.008105553651663823,0.12180000000000002
2,16,bit_flip,0.005,0.7333999999999999,0.01517563837207519,0.7333999999999999,0.0151756383720752,0.26660000000000006
2,16,bit_flip,0.01,0.5542,0.01336787193236083,0.5542,0.01336787193236083,0.4458
2,16,bit_flip,0.02,0.3546,0.013813037319865593,0.3546,0.013813037319865551,0.6454
2,16,bit_flip,0.05,0.24500000000000002,0.008717797887081357,0.24500000000000002,0.008717797887081357,0.755
