qubits,depth,noise_model,gate_count,noise_probability,shots,seed,success_probability,error_rate,fidelity,counts,repetition
2,8,bit_flip,52,0.05,1000,4,0.313,0.687,0.31299999999999994,"{'00': 313, '10': 228, '11': 250, '01': 209}",4
2,8,bit_flip,52,0.1,1000,0,0.236,0.764,0.236,"{'10': 255, '11': 246, '01': 263, '00': 236}",0
2,8,bit_flip,52,0.1,1000,1,0.234,0.766,0.23399999999999999,"{'01': 254, '11': 231, '10': 281, '00': 234}",1
2,8,bit_flip,52,0.1,1000,2,0.256,0.744,0.25599999999999995,"{'11': 249, '10': 233, '00': 256, '01': 262}",2
2,8,bit_flip,52,0.1,1000,3,0.239,0.761,0.23899999999999996,"{'10': 264, '00': 239, '01': 262, '11': 235}",3
2,8,bit_flip,52,0.1,1000,4,0.245,0.755,0.24500000000000002,"{'00': 245, '01': 249, '11': 272, '10': 234}",4
2,16,bit_flip,100,0.0,1000,0,1.0,0.0,1.0,{'00': 1000},0
2,16,bit_flip,100,0.0,1000,1,1.0,0.0,1.0,{'00': 1000},1
2,16,bit_flip,100,0.0,1000,2,1.0,0.0,1.0,{'00': 1000},2
2,16,bit_flip,100,0.0,1000,3,1.0,0.0,1.0,{'00': 1000},3
2,16,bit_flip,100,0.0,1000,4,1.0,0.0,1.0,{'00': 1000},4
2,16,bit_flip,100,0.001,1000,0,0.937,0.06299999999999994,0.937,"{'00': 937, '11': 28, '01': 18, '10': 17}",0
2,16,bit_flip,100,0.001,1000,1,0.931,0.06899999999999995,0.9309999999999999,"{'00': 931, '10': 17, '01': 23, '11': 29}",1
2,16,bit_flip,100,0.001,1000,2,0.931,0.06899999999999995,0.9309999999999999,"{'00': 931, '01': 24, '10': 22, '11': 23}",2
2,16,bit_flip,100,0.001,1000,3,0.936,0.06399999999999995,0.9359999999999999,"{'00': 936, '01': 24, '11': 23, '10': 17}",3
2,16,bit_flip,100,0.001,1000,4,0.942,0.05800000000000005,0.942,"{'00': 942, '11': 22, '01': 18, '10': 18}",4
2,16,bit_flip,100,0.002,1000,0,0.887,0.11299999999999999,0.887,"{'00': 887, '01': 35, '11': 45, '10': 33}",0
2,16,bit_flip,100,0.002,1000,1,0.878,0.122,0.878,"{'00': 878, '11': 46, '01': 45, '10': 31}",1
2,16,bit_flip,100,0.002,1000,2,0.881,0.119,0.881,"{'01': 36, '00': 881, '10': 38, '11': 45}",2
2,16,bit_flip,100,0.002,1000,3,0.88,0.12,0.8800000000000001,"{'00': 880, '10': 37, '11': 40, '01': 43}",3
2,16,bit_flip,100,0.002,1000,4,0.865,0.135,0.865,"{'00': 865, '01': 56, '11': 40, '10': 39}",4
2,16,bit_flip,100,0.005,1000,0,0.731,0.269,0.7310000000000001,"{'01': 100, '10': 83, '00': 731, '11': 86}",0
2,16,bit_flip,100,0.005,1000,1,0.749,0.251,0.749,"{'00': 749, '01': 88, '11': 91, '10': 72}",1
2,16,bit_flip,100,0.005,1000,2,0.728,0.272,0.7279999999999999,"{'11': 91, '00': 728, '10': 89, '01': 92}",2
2,16,bit_flip,100,0.005,1000,3,0.747,0.253,0.747,"{'00': 747, '10': 82, '11': 88, '01': 83}",3
2,16,bit_flip,100,0.005,1000,4,0.712,0.28800000000000003,0.712,"{'00': 712, '01': 104, '10': 92, '11': 92}",4
2,16,bit_flip,100,0.01,1000,0,0.554,0.44599999999999995,0.554,"{'10': 155, '11': 132, '01': 159, '00': 554}",0
2,16,bit_flip,100,0.01,1000,1,0.554,0.44599999999999995,0.554,"{'00': 554, '10': 129, '01': 172, '11': 145}",1
2,16,bit_flip,100,0.01,1000,2,0.569,0.43100000000000005,0.569,"{'11': 151, '01': 134, '00': 569, '10': 146}",2
2,16,bit_flip,100,0.01,1000,3,0.561,0.43899999999999995,0.561,"{'00': 561, '01': 151, '10': 141, '11': 147}",3
2,16,bit_flip,100,0.01,1000,4,0.533,0.46699999999999997,0.533,"{'00': 533, '10': 152, '11': 156, '01': 159}",4
2,16,bit_flip,100,0.02,1000,0,0.34,0.6599999999999999,0.3400000000000001,"{'10': 224, '11': 196, '01': 240, '00': 340}",0
2,16,bit_flip,100,0.02,1000,1,0.339,0.661,0.3390000000000001,"{'00': 339, '01': 247, '10': 229, '11': 185}",1
2,16,bit_flip,100,0.02,1000,2,0.366,0.634,0.366,"{'11': 211, '10': 195, '00': 366, '01': 228}",2
2,16,bit_flip,100,0.02,1000,3,0.364,0.636,0.36400000000000005,"{'01': 226, '00': 364, '10': 204, '11': 206}",3
2,16,bit_flip,100,0.02,1000,4,0.364,0.636,0.36400000000000005,"{'00': 364, '10': 220, '11': 217, '01': 199}",4
2,16,bit_flip,100,0.05,1000,0,0.24,0.76,0.24,"{'10': 256, '11': 242, '01': 262, '00': 240}",0
2,16,bit_flip,100,0.05,1000,1,0.235,0.765,0.235,"{'01': 258, '11': 230, '10': 277, '00': 235}",1
2,16,bit_flip,100,0.05,1000,2,0.258,0.742,0.258,"{'11': 249, '10': 233, '00': 258, '01': 260}",2
2,16,bit_flip,100,0.05,1000,3,0.244,0.756,0.24400000000000002,"{'10': 264, '00': 244, '01': 258, '11': 234}",3
2,16,bit_flip,100,0.05,1000,4,0.248,0.752,0.248,"{'00': 248, '01': 249, '11': 271, '10': 232}",4
2,16,bit_flip,100,0.1,1000,0,0.232,0.768,0.232,"{'10': 259, '11': 246, '01': 263, '00': 232}",0
2,16,bit_flip,100,0.1,1000,1,0.23,0.77,0.23,"{'01': 252, '11': 232, '10': 286, '00': 230}",1
2,16,bit_flip,100,0.1,1000,2,0.252,0.748,0.25199999999999995,"{'11': 250, '10': 236, '00': 252, '01': 262}",2
2,16,bit_flip,100,0.1,1000,3,0.236,0.764,0.236,"{'10': 268, '00': 236, '01': 261, '11': 235}",3
2,16,bit_flip,100,0.1,1000,4,0.242,0.758,0.242,"{'00': 242, '01': 249, '11': 274, '10': 235}",4
2,32,bit_flip,196,0.0,1000,0,1.0,0.0,1.0,{'00': 1000},0
2,32,bit_flip,196,0.0,1000,1,1.0,0.0,1.0,{'00': 1000},1
2,32,bit_flip,196,0.0,1000,2,1.0,0.0,1.0,{'00': 1000},2
2,32,bit_flip,196,0.0,1000,3,1.0,0.0,1.0,{'00': 1000},3
2,32,bit_flip,196,0.0,1000,4,1.0,0.0,1.0,{'00': 1000},4
2,32,bit_flip,196,0.001,1000,0,0.887,0.11299999999999999,0.887,"{'00': 887, '01': 34, '11': 45, '10': 34}",0
2,32,bit_flip,196,0.001,1000,1,0.88,0.12,0.8800000000000001,"{'00': 880, '11': 46, '01': 43, '10': 31}",1
2,32,bit_flip,196,0.001,1000,2,0.883,0.11699999999999999,0.883,"{'01': 33, '00': 883, '10': 39, '11': 45}",2
2,32,bit_flip,196,0.001,1000,3,0.885,0.11499999999999999,0.8849999999999999,"{'00': 885, '10': 38, '11': 40, '01': 37}",3
2,32,bit_flip,196,0.001,1000,4,0.867,0.133,0.867,"{'00': 867, '01': 52, '11': 40, '10': 41}",4
2,32,bit_flip,196,0.002,1000,0,0.78,0.21999999999999997,0.78,"{'00': 780, '10': 59, '01': 88, '11': 73}",0
2,32,bit_flip,196,0.002,1000,1,0.798,0.20199999999999996,0.798,"{'00': 798, '01': 57, '11': 75, '10': 70}",1
2,32,bit_flip,196,0.002,1000,2,0.776,0.22399999999999998,0.776,"{'10': 73, '00': 776, '11': 78, '01': 73}",2
2,32,bit_flip,196,0.002,1000,3,0.782,0.21799999999999997,0.7819999999999999,"{'00': 782, '10': 72, '11': 75, '01': 71}",3
