qubits,depth,noise_model,noise_probability,mean_success,std_success,mean_fidelity,std_fidelity,mean_error_rate,success_ci,success_ci_lower,success_ci_upper
2,8,depolarizing,0.05,0.33,0.012903487900563945,0.32999999999999996,0.012903487900563984,0.6699999999999999,0.0160192278465599,0.3139807721534401,0.3460192278465599
2,8,depolarizing,0.1,0.2486,0.008848728722251582,0.2486,0.00884872872225157,0.7514000000000001,0.010985386482049693,0.2376146135179503,0.2595853864820497
2,8,phase_flip,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,8,phase_flip,0.001,0.9621999999999999,0.0016431676725155234,0.9621999999999999,0.0016431676725155234,0.037800000000000056,0.0020399350577898615,0.9601600649422101,0.9642399350577898
2,8,phase_flip,0.002,0.9334,0.003974921382870327,0.9334000000000001,0.003974921382870278,0.06659999999999999,0.004934725540493576,0.9284652744595064,0.9383347255404936
2,8,phase_flip,0.005,0.8488,0.009731392500562286,0.8488,0.009731392500562331,0.1512,0.012081182617608254,0.8367188173823917,0.8608811826176083
2,8,phase_flip,0.01,0.7258,0.012275992831539156,0.7258,0.012275992831539193,0.2742,0.015240214717647554,0.7105597852823524,0.7410402147176476
2,8,phase_flip,0.02,0.5438000000000001,0.013367871932360827,0.5438000000000001,0.01336787193236078,0.45619999999999994,0.01659574434124606,0.527204255658754,0.5603957443412462
2,8,phase_flip,0.05,0.30019999999999997,0.011606032913963343,0.3001999999999999,0.011606032913963317,0.6998,0.014408482968029653,0.2857915170319703,0.3146084829680296
2,8,phase_flip,0.1,0.242,0.008860022573334682,0.24199999999999994,0.008860022573334674,0.758,0.010999407402219457,0.23100059259778052,0.25299940740221943
2,8,readout,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,8,readout,0.001,0.9978,0.0013038404810405213,0.9978,0.0013038404810405213,0.0021999999999999797,0.0016186722460090448,0.9961813277539909,0.9994186722460091
